City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Waipawa,NZ,-41.4122,175.5153,55.22,73,100,9.26,overcast clouds
80,Yumen,CN,40.2833,97.2,84.7,10,17,11.43,few clouds
81,Madera,US,37.1666,-119.8343,72.23,49,0,4.16,clear sky
82,Gambo,CF,4.6482,22.2633,81.68,66,98,3.29,overcast clouds
83,Namibe,AO,-15.1961,12.1522,79.74,33,59,9.42,broken clouds
84,San Quintin,MX,30.4833,-115.95,62.74,87,88,8.7,overcast clouds
85,Rio Grande,BR,-32.035,-52.0986,52.95,94,48,7.54,scattered clouds
86,Magadi,IN,12.9667,77.2333,87.76,43,47,8.72,scattered clouds
87,Chokurdakh,RU,70.6333,147.9167,49.57,36,2,15.28,clear sky
88,Saint George,US,37.1041,-113.5841,80.8,26,7,1.01,clear sky
89,Derbent,RU,42.0678,48.2899,71.31,75,100,9.01,overcast clouds
90,Khatanga,RU,71.9667,102.5,57.63,40,55,11.34,broken clouds
91,Omboue,GA,-1.5746,9.2618,78.58,75,62,5.1,broken clouds
92,Upernavik,GL,72.7868,-56.1549,27.86,86,85,5.44,overcast clouds
93,Taman,RU,45.2117,36.7161,71.19,62,100,18.32,overcast clouds
94,Ostersund,SE,63.1792,14.6357,58.6,71,0,9.22,clear sky
95,Half Moon Bay,US,37.4636,-122.4286,59.11,82,0,12.66,clear sky
96,Port Lincoln,AU,-34.7333,135.8667,54.95,66,87,13.47,overcast clouds
97,Yellowknife,CA,62.456,-114.3525,59.52,51,20,8.05,few clouds
98,Ilulissat,GL,69.2167,-51.1,35.62,64,11,6.91,few clouds
99,Puerto Ayora,EC,-0.7393,-90.3518,70.43,88,100,5.88,overcast clouds
100,Pandamatenga,BW,-18.5278,25.627,61.86,51,0,10.74,clear sky
101,Flinders,AU,-34.5833,150.8552,51.39,65,57,17.4,broken clouds
102,Republic,US,37.12,-93.4802,70.84,82,75,5.75,broken clouds
103,Geraldton,AU,-28.7667,114.6,75.61,31,100,19.57,overcast clouds
104,Kasongo,CD,-4.45,26.6667,79.72,41,51,8.25,broken clouds
105,Avarua,CK,-21.2078,-159.775,73.45,88,75,13.8,light rain
106,Lavrentiya,RU,65.5833,-171.0,39.06,77,100,0.67,overcast clouds
107,Esperance,AU,-33.8667,121.9,56.7,68,96,9.04,overcast clouds
108,Hirado,JP,33.3597,129.5531,70.39,73,86,18.21,overcast clouds
109,Atambua,ID,-9.1061,124.8925,81.19,64,25,0.76,scattered clouds
110,Beloha,MG,-25.1667,45.05,74.1,58,49,13.11,scattered clouds
111,Horsham,GB,51.064,-0.3272,62.31,87,75,2.3,broken clouds
112,Stornoway,GB,58.2093,-6.3865,57.04,71,20,6.91,few clouds
113,Launceston,AU,-41.45,147.1667,43.16,68,75,6.91,broken clouds
114,Bobcaygeon,CA,44.5462,-78.542,61.88,99,100,10.04,overcast clouds
115,Ahipara,NZ,-35.1667,173.1667,61.05,95,98,9.53,overcast clouds
116,Kushima,JP,31.4583,131.2333,73.69,71,100,7.23,overcast clouds
117,San Vicente,AR,-26.6167,-54.1333,57.52,100,100,2.93,overcast clouds
118,Santa Cruz,BO,-17.8,-63.1667,63.86,88,75,11.5,light rain
119,Prince Rupert,CA,54.3161,-130.3201,51.96,83,97,4.94,overcast clouds
120,Grindavik,IS,63.8424,-22.4338,50.47,93,75,23.02,broken clouds
121,Biak,ID,-0.9131,122.8766,79.74,82,100,4.38,overcast clouds
122,Chuy,UY,-33.6971,-53.4616,48.51,92,3,3.78,clear sky
123,Sulmona,IT,42.0479,13.9291,86.22,45,8,3.83,clear sky
124,Segezha,RU,63.7415,34.3222,56.28,47,15,4.72,few clouds
125,Touros,BR,-5.1989,-35.4608,72.39,92,43,9.71,scattered clouds
126,Katsuura,JP,35.1333,140.3,62.55,85,100,19.84,overcast clouds
127,Victoria,HK,22.2855,114.1577,86.38,82,100,8.99,overcast clouds
128,Banda Aceh,ID,5.5577,95.3222,85.69,66,100,8.3,moderate rain
129,Yarmouth,US,41.7057,-70.2286,63.0,87,0,6.91,clear sky
130,Kaeo,NZ,-35.1,173.7833,62.33,96,96,7.83,overcast clouds
131,Nuuk,GL,64.1835,-51.7216,41.61,60,0,2.3,clear sky
